Date,Gas Flow_MMSCFD,Oil_bpd,Water_bpd,FWHP_psig,FroudeNumberGas6,FroudeNumberLiquid6,HoldupFractionLiquid6,ReynoldsNumber6,SuperficialVelocityGas6,SuperficialVelocityLiquid6,SurfaceTensionLiquidInSitu6,ViscosityLiquidInSitu6,FlowPatternGasLiquid6,FINAPRESS,FINATEMP
1/1/2020,2.002,442.2,4589.1394,5714.6,0.081595341,0.839248991,0.845649339,413949.5027,0.511382055,2.653231343,0.012656413,0.273347702,4,2218.335761,212.6519663
1/2/2020,1.937,423.2,4049.393707,5706.3,0.079079826,0.752241637,0.836687215,371353.2559,0.490838333,2.372265683,0.012323414,0.274701744,4,2258.367024,211.1285849
1/3/2020,1.922,413.6,3596.768652,5487.4,0.08246332,0.668270912,0.810317882,343398.8686,0.532550332,2.128513683,0.013427079,0.276586283,4,2132.427828,209.2398087
1/4/2020,1.988,419.2,3261.638877,5458.9,0.086242929,0.619787573,0.792928101,322576.7052,0.550711339,1.96863314,0.013022326,0.277707165,4,2178.90953,207.6993995
1/5/2020,1.978,407.6,2999.843801,5332.9,0.088402988,0.571402898,0.773257261,306047.9193,0.575918418,1.823825012,0.013568704,0.279261364,4,2119.901822,206.1992227
1/6/2020,1.887,396.4,2699.938356,5349.1,0.08283026,0.52497262,0.772356125,277916.0513,0.532421304,1.670183374,0.013097984,0.280596937,4,2161.041937,204.5879419
1/7/2020,1.970,393.7,2528.165193,5418.2,0.087321371,0.50270856,0.759283372,267499.1057,0.542652955,1.585837337,0.0121364,0.281292579,4,2279.620318,203.4517028
1/8/2020,1.959,383.1,2274.270349,5200.0,0.090358789,0.453098335,0.729178085,252897.103,0.583586493,1.443194496,0.013133473,0.284208012,4,2161.531375,201.1557963
1/9/2020,1.926,378.4,2127.093049,5174.4,0.088711441,0.42951339,0.723203956,240130.8226,0.571662842,1.367324786,0.013006127,0.285548229,4,2167.206608,199.870017
1/10/2020,1.843,370.5,1955.167594,5128.3,0.084301757,0.400591954,0.720079341,223166.2695,0.54521592,1.276379111,0.013025897,0.287408455,4,2148.587478,198.1862016
1/11/2020,1.907,351.4,1813.238762,5062.2,0.090861625,0.372226418,0.68965888,217256.5726,0.587199249,1.185783133,0.013026748,0.289740597,4,2166.815977,196.3188848
1/12/2020,1.864,354.6,1711.455556,5201.5,0.085850009,0.363600119,0.703082395,203314.1281,0.53246234,1.146426545,0.011804327,0.289897382,4,2289.410506,195.4031179
1/13/2020,1.910,344.5,1534.701112,5084.9,0.090947357,0.331367909,0.670661866,194282.4175,0.567719609,1.046529825,0.011902689,0.292914414,4,2277.148362,192.6802926
1/14/2020,1.912,330.7,1509.236125,5120.8,0.092069939,0.324231424,0.664610378,191901.745,0.568773777,1.021244502,0.011684467,0.293609099,4,2318.341934,192.2544302
1/15/2020,1.813,331.1,1339.29465,5026.5,0.085992224,0.297815681,0.661694676,174518.3512,0.535639817,0.940048481,0.011716377,0.296367203,4,2271.067441,189.3479547
1/16/2020,1.887,323.7,1268.757965,4854.8,0.093198371,0.280928475,0.625966649,176533.7804,0.595968304,0.892625984,0.012406372,0.298845149,4,2199.273192,187.5881516
1/17/2020,1.873,316.5,1189.524518,4812.9,0.093083399,0.266625522,0.614758301,169847.471,0.595044999,0.847113462,0.012340841,0.301132939,4,2197.94534,185.8240067
1/18/2020,1.863,309.6,1131.147069,4888.0,0.092291379,0.258211006,0.613771758,162758.7021,0.574723974,0.814981552,0.011614508,0.302219674,4,2280.187133,184.6352873
1/19/2020,1.849,311.1,1126.818081,4884.8,0.091201181,0.258003876,0.616426295,161621.2388,0.568523234,0.814544212,0.011621605,0.302269533,4,2273.348777,184.5468844
1/20/2020,1.834,292.8,1043.520108,4786.1,0.092506795,0.238452662,0.593167085,155893.4199,0.58359905,0.755111082,0.011935814,0.306116095,4,2239.682228,182.1018179
1/21/2020,1.787,287.5,1017.690591,4774.0,0.08987585,0.232994847,0.594876071,151398.533,0.56833932,0.738265336,0.0119843,0.307288091,4,2226.645852,181.3213409
1/22/2020,1.827,287.4,956.5995034,4752.6,0.092610698,0.224010981,0.57979087,148576.7918,0.580340037,0.708171832,0.011659043,0.308994734,4,2254.372818,179.6170931
1/23/2020,1.792,286.5,905.645003,4591.9,0.091525593,0.213656136,0.567311359,145216.6306,0.590999701,0.680496421,0.012332575,0.311879914,4,2150.940361,177.7130726
1/24/2020,1.783,272.3,832.8800263,4618.2,0.091652364,0.199881264,0.554626005,137880.79,0.580185879,0.633509816,0.011791235,0.314887276,4,2210.463292,175.1817212
1/25/2020,1.758,278.8,822.0725702,4625.6,0.089378585,0.200604611,0.562899568,135179.3813,0.563601429,0.635182587,0.011605677,0.31468345,4,2211.076612,174.9149018
1/26/2020,1.787,270.8,804.4707096,4569.3,0.092350456,0.194706617,0.545803975,136479.4195,0.587420118,0.617850039,0.011860423,0.316280222,4,2193.167842,174.0633518
1/27/2020,1.798,260.6,747.4491232,4531.7,0.094098919,0.183262948,0.527417828,132813.525,0.595534031,0.580805169,0.011687143,0.319280494,4,2208.991061,171.6988337
1/28/2020,1.764,250.7,711.7108563,4548.2,0.092375953,0.175684202,0.523897948,127329.0743,0.579036596,0.555436017,0.011440289,0.32189691,4,2234.444161,170.042216
1/29/2020,1.693,246.4,705.0322823,4334.1,0.089714761,0.170419306,0.515269093,127001.8499,0.595803017,0.546428812,0.012885948,0.325109415,4,2055.846041,169.0717151
1/30/2020,1.736,255.0,649.0943426,4342.9,0.091787001,0.165532671,0.506624663,123503.7534,0.595427886,0.527812761,0.012009103,0.326677197,4,2111.27285,166.8839806
1/31/2020,1.744,249.2,653.8632904,4307.9,0.092969692,0.164021252,0.499158516,125202.5802,0.609135478,0.524243705,0.012342509,0.327349934,4,2088.92834,166.9172771
2/1/2020,1.725,239.4,599.5706474,4316.4,0.092199328,0.154029731,0.48942929,118723.7829,0.594024047,0.490319334,0.011831628,0.331241161,4,2129.740559,164.0408666
2/2/2020,1.687,233.4,601.5068068,4247.6,0.090568809,0.15167832,0.486912802,118182.9434,0.596300761,0.485353161,0.012441799,0.332874016,4,2065.696084,163.7203172
2/3/2020,1.689,238.0,564.1214905,4324.2,0.089722131,0.149011469,0.49102245,113009.9232,0.571882403,0.473091402,0.011436821,0.333470506,4,2146.145263,162.0349649
2/4/2020,1.721,229.3,556.7301849,4214.1,0.093272231,0.144157264,0.468721399,116309.8835,0.60800795,0.460193343,0.012065506,0.335906326,4,2089.298339,161.2556469
2/5/2020,1.683,221.0,527.5807272,4189.2,0.091361144,0.137617368,0.463464321,111800.6875,0.595387031,0.439287142,0.012027002,0.339251971,4,2081.866218,159.1540317
2/6/2020,1.645,227.4,494.0968455,4197.7,0.088297321,0.135125822,0.471045956,105981.8658,0.568441114,0.430061111,0.011471498,0.340585943,4,2093.606736,157.144861
2/7/2020,1.627,215.4,491.8679288,4140.2,0.088255544,0.130772137,0.460450846,105954.552,0.577368323,0.41782143,0.01200872,0.34340014,4,2053.158049,156.418743
2/8/2020,1.614,222.3,485.2970171,4067.1,0.087507788,0.131030822,0.460844346,105704.9017,0.581670472,0.420222657,0.012267639,0.344056946,4,1994.571056,155.9106637
2/9/2020,1.656,218.3,469.348246,4051.7,0.090576476,0.127716808,0.446485155,106655.2941,0.598091005,0.408959765,0.012079956,0.345611452,4,2015.351174,154.8966898
2/10/2020,1.634,210.6,427.7419043,4092.8,0.089203298,0.120559617,0.441680538,100234.8217,0.573938956,0.383646981,0.011310904,0.350040418,4,2075.886601,151.7609647
2/11/2020,1.602,202.4,437.2372495,4061.3,0.087713493,0.119182307,0.440595318,100073.6908,0.573430728,0.380729513,0.011864481,0.351559774,4,2036.532644,151.8978307
2/12/2020,1.570,202.4,421.1319391,3951.0,0.086324392,0.116016054,0.435044321,98419.52549,0.577256865,0.372587059,0.012314299,0.354894946,4,1954.896051,150.1848494
2/13/2020,1.572,204.2,396.2033274,3873.7,0.086980807,0.112506727,0.424864298,97230.91935,0.586223187,0.361966654,0.012277595,0.357859571,4,1918.244919,148.0935663
