Date,Gas Flow_MMSCFD,Oil_bpd,Water_bpd,FWHP_psig,FroudeNumberGas6,FroudeNumberLiquid6,HoldupFractionLiquid6,ReynoldsNumber6,SuperficialVelocityGas6,SuperficialVelocityLiquid6,SurfaceTensionLiquidInSitu6,ViscosityLiquidInSitu6,FlowPatternGasLiquid6,FINAPRESS,FINATEMP
1/1/2020,2.006,434.3,4358.796496,5714.6,0.082530196,0.802493775,0.838955472,397428.085,0.514044523,2.533014845,0.012454999,0.273919479,4,2245.856283,212.0075177
1/2/2020,1.983,425.3,3954.486042,5569.2,0.08429651,0.729662121,0.820789758,370815.294,0.537978212,2.317303818,0.013136059,0.275289206,4,2167.784425,210.5910583
1/3/2020,1.971,423.3,3483.036837,5551.1,0.083442258,0.658773861,0.808912904,335519.3383,0.5257751,2.085509296,0.012690194,0.276643962,4,2214.713037,208.827114
1/4/2020,1.977,416.3,3290.559813,5483.7,0.085424704,0.624417093,0.796104043,323486.3778,0.543197866,1.98126923,0.012917649,0.277573168,4,2191.448539,207.8738045
1/5/2020,1.961,410.4,2967.71305,5482.5,0.084583892,0.575356914,0.786456105,298405.2945,0.5302357,1.819061442,0.012455107,0.278796957,4,2240.738376,206.2881957
1/6/2020,1.941,402.3,2619.900658,5311.3,0.086210667,0.513697197,0.761348885,275626.8482,0.55453823,1.634591187,0.013081032,0.281028642,4,2163.549487,203.9665481
1/7/2020,1.927,392.2,2437.611357,5351.4,0.085464439,0.485961801,0.755769466,259866.9181,0.538701785,1.538563783,0.012477186,0.28214595,4,2231.624779,202.7477781
1/8/2020,1.913,373.3,2281.032303,5343.0,0.08643214,0.456712443,0.743343225,247528.8847,0.541096667,1.443460029,0.012294926,0.283737943,4,2259.896099,201.4551867
1/9/2020,1.919,374.4,2079.176163,5279.4,0.08713356,0.425517228,0.728850893,233364.9298,0.54544058,1.344836477,0.012192843,0.285539925,4,2260.667655,199.5878501
1/10/2020,1.898,355.0,1962.89553,5232.3,0.088188577,0.400611439,0.714240779,224641.2133,0.554635529,1.267629071,0.012336121,0.28735459,4,2252.289144,198.2740643
1/11/2020,1.879,347.1,1804.253436,5131.8,0.088580862,0.371889191,0.697134317,213425.8654,0.56387384,1.180316753,0.012606466,0.289610644,4,2214.142918,196.3366444
1/12/2020,1.883,353.2,1706.426793,5170.8,0.087600743,0.361337286,0.696689806,204647.4873,0.546498021,1.141002477,0.011964926,0.290182702,4,2274.349948,195.2569928
1/13/2020,1.869,338.0,1580.162125,5117.8,0.088570467,0.336706864,0.679739709,195226.2788,0.553390557,1.063641306,0.011986258,0.292456648,4,2273.734128,193.3744324
1/14/2020,1.875,331.4,1460.740709,5043.0,0.090176699,0.315395739,0.661507706,187553.1104,0.565731148,0.99735755,0.012034427,0.294634737,4,2262.141357,191.3875669
1/15/2020,1.852,325.5,1366.908973,5029.0,0.089163763,0.299937884,0.654502633,178983.2512,0.555723159,0.946890668,0.011802731,0.296225894,4,2279.6883,189.7668247
1/16/2020,1.854,324.4,1315.556414,4889.3,0.090694366,0.288560154,0.638296908,177874.4608,0.580373572,0.917037789,0.012465624,0.297907916,4,2194.383607,188.5604175
1/17/2020,1.840,313.7,1218.956052,4898.5,0.090406724,0.271956328,0.628243793,168874.7953,0.57051579,0.861270509,0.012040758,0.300082423,4,2238.510364,186.5945373
1/18/2020,1.816,314.6,1158.962161,4776.5,0.089778962,0.260874192,0.617633466,164876.3588,0.578693913,0.830527301,0.012524652,0.302237411,4,2162.493768,185.0764841
1/19/2020,1.800,302.0,1112.554561,4872.8,0.088817273,0.252874148,0.617637071,158183.9039,0.55661215,0.799433592,0.011787174,0.303292194,4,2254.966745,184.0820784
1/20/2020,1.809,295.2,1057.045294,4781.3,0.090677012,0.240965572,0.599797736,155754.2695,0.575119196,0.76409229,0.012073062,0.305711882,4,2218.332667,182.4547739
1/21/2020,1.780,290.4,1003.857903,4719.6,0.089551896,0.230857915,0.592148347,150773.1332,0.572223508,0.733395953,0.012215159,0.307894969,4,2188.496816,180.8688941
1/22/2020,1.775,288.0,956.5995034,4630.8,0.090054592,0.221808557,0.579634985,148085.6299,0.582852457,0.706860307,0.012485199,0.310066596,4,2145.319778,179.3192762
1/23/2020,1.793,281.7,898.4857539,4682.6,0.091278516,0.212923546,0.570731654,143002.1402,0.576354265,0.674416273,0.011784113,0.311652131,4,2222.170914,177.6274659
1/24/2020,1.768,281.1,841.4136331,4615.9,0.090020716,0.203743532,0.563668432,137664.0971,0.57086862,0.646037778,0.011776566,0.313984403,4,2196.355354,175.6031364
1/25/2020,1.759,269.1,826.1462698,4516.0,0.091250892,0.196231066,0.547316595,138171.1633,0.59290256,0.625939572,0.012450509,0.316299974,4,2132.080035,174.6555381
1/26/2020,1.750,262.3,770.9835455,4526.2,0.090858929,0.186878474,0.539482819,132430.1577,0.581759797,0.593979531,0.012005142,0.318581841,4,2170.469508,172.5384234
1/27/2020,1.737,261.9,746.7039098,4468.7,0.090520697,0.18255647,0.533661989,130611.4566,0.584931062,0.581545355,0.012162438,0.320121766,4,2138.255163,171.4561734
1/28/2020,1.740,255.9,725.2740521,4512.5,0.090669312,0.178556972,0.530590514,127875.7936,0.576346378,0.566510332,0.011759233,0.32122895,4,2187.250377,170.5755913
1/29/2020,1.731,256.0,681.7593721,4362.9,0.091250079,0.17048607,0.514126177,126037.4294,0.595103885,0.544303694,0.012244211,0.324814129,4,2101.865371,168.4048243
1/30/2020,1.728,254.3,658.2920358,4432.9,0.090515829,0.167865594,0.516658073,122198.3231,0.576270387,0.532796732,0.011594275,0.325403597,4,2167.842144,167.4659451
1/31/2020,1.720,245.6,641.240447,4416.7,0.090691798,0.162768295,0.508675197,120543.5906,0.57763672,0.516672852,0.011637244,0.327394518,4,2168.826166,166.4294271
2/1/2020,1.714,235.8,603.2117647,4277.6,0.091952316,0.152977012,0.486411122,119235.884,0.599711399,0.488408677,0.012187249,0.331975721,4,2096.014811,164.013518
2/2/2020,1.689,237.1,596.8349093,4326.9,0.089795978,0.153145425,0.495219818,116226.6338,0.57860405,0.48751758,0.011839962,0.331826793,4,2125.368378,163.7565546
