Date,Gas Flow_MMSCFD,Oil_bpd,Water_bpd,FWHP_psig,FroudeNumberGas6,FroudeNumberLiquid6,HoldupFractionLiquid6,ReynoldsNumber6,SuperficialVelocityGas6,SuperficialVelocityLiquid6,SurfaceTensionLiquidInSitu6,ViscosityLiquidInSitu6,FlowPatternGasLiquid6,FINAPRESS,FINATEMP
1/1/2020,1.9979985,466.86395,4320.80866,5603.811198,0.080394252,0.799680083,0.839809087,396646.0544,0.513819148,2.540582744,0.013140643,0.273805722,4,2150.835786,211.8525083
1/2/2020,2.000979,462.75264,3177.54154,5574.1836,0.079922441,0.629476823,0.811463359,312421.2874,0.491905591,1.98077447,0.011880805,0.276766458,4,2284.109281,207.6020741
1/3/2020,1.998964,448.63094,2587.33434,5547.496275,0.080650816,0.537948911,0.788673215,268611.3109,0.484539153,1.681915929,0.011079878,0.279040358,4,2371.590019,204.2560068
1/4/2020,1.985018,444.05424,2207.89845,5532.051609,0.079545843,0.481506798,0.775623179,238882.5679,0.467620966,1.496467533,0.01038519,0.280999797,4,2439.152773,201.4426254
1/5/2020,1.986,428.112,1983,5525.004375,0.0811713,0.443607399,0.759974054,221882.4547,0.469367572,1.372261518,0.009937428,0.282732779,4,2494.39848,199.3227957
1/6/2020,1.9879575,420.11463,1820.87166,5548.391319,0.081467928,0.419461409,0.75202976,208901.8706,0.460969616,1.289409133,0.009384363,0.283623671,4,2561.8295,197.6280221
1/7/2020,1.97703,415.01122,1670.88489,5511.073517,0.081660427,0.394465346,0.741363192,197481.075,0.459342593,1.210455208,0.009192742,0.284948355,4,2574.393705,195.777948
1/8/2020,1.971069,409.78794,1535.60078,5515.1861,0.081494923,0.374158964,0.734226242,186547.3755,0.450511452,1.14214609,0.008759372,0.285707079,4,2621.714041,193.9608492
1/9/2020,1.969065,402.03,1438.51904,5513.816063,0.082224389,0.357778745,0.725598182,179023.1202,0.448904029,1.087958317,0.008473192,0.28645915,4,2656.924487,192.4721219
1/10/2020,1.97693,394.22377,1357.69973,5487.840445,0.084160094,0.342152989,0.712888588,173746.6015,0.457213579,1.038847782,0.008355374,0.287521897,4,2671.283002,191.0603218
1/11/2020,1.978845,393.74896,1299.91878,5470.194994,0.084491242,0.333227744,0.707588843,169596.0998,0.456858667,1.010258758,0.008223272,0.287944792,4,2680.288578,190.0330042
1/12/2020,1.957153,379.1997,1244.99381,5455.374094,0.085131391,0.319139518,0.697578268,164827.9897,0.459572142,0.967051931,0.008205119,0.289302225,4,2687.780645,188.8676542
1/13/2020,1.972815,377.24,1184.91456,5429.843,0.086800727,0.308929438,0.687475924,161291.1803,0.46634028,0.93469433,0.008077187,0.290031774,4,2698.82967,187.62645
1/14/2020,1.968844,370.93664,1143.80304,5407.009,0.087631765,0.299751978,0.67923681,158201.7157,0.470669872,0.906844465,0.008060937,0.291282387,4,2699.170925,186.663819
1/15/2020,1.949,370,1102.70823,5435.7,0.085874973,0.295456735,0.682728486,153364.4863,0.454530063,0.889665851,0.007748025,0.291124418,4,2734.189091,185.8076745
1/16/2020,1.965,358.3,1064.56414,5410.1,0.089062227,0.284111225,0.666251895,151714.5373,0.47142287,0.85551622,0.007771155,0.292904894,4,2741.604159,184.7547702
1/17/2020,1.942,353.1,1016.5518,5372.1,0.088446836,0.274047428,0.659989902,147243.6408,0.469441068,0.825937732,0.007786938,0.294552761,4,2727.377044,183.454286
1/18/2020,1.959,350.1,985.2876,5405.9,0.089836008,0.270006324,0.655411405,145097.8009,0.468592851,0.809153918,0.00746491,0.294327612,4,2778.098151,182.6938118
1/19/2020,1.947,346.3,966.23,5383.1,0.089700436,0.26496318,0.65129509,143327.7993,0.469567775,0.794979512,0.007520536,0.295342856,4,2766.300746,182.0939805
1/20/2020,1.946,342.9,940.41948,5377.4,0.09017145,0.259895832,0.646430561,141292.7542,0.470179746,0.778765814,0.007438932,0.295984672,4,2776.121914,181.3404856
1/21/2020,1.951,340.7,911.0412,5330.6,0.091242287,0.253162003,0.637240953,139781.3996,0.478578166,0.76006156,0.00751794,0.297400293,4,2756.166824,180.4002389
1/22/2020,1.949,337.9,895.22664,5309,0.091662695,0.249075799,0.632231376,138723.6255,0.482080184,0.748452759,0.007558485,0.298275963,4,2747.642049,179.8596014
1/23/2020,1.93,332.5,867.56946,5303.4,0.091067337,0.243157298,0.628962877,135667.1604,0.47740909,0.729898728,0.007487834,0.299222219,4,2753.698506,178.9281235
1/24/2020,1.93,324.1,852.64027,5308.3,0.092267718,0.237768036,0.621126538,134602.2927,0.482036049,0.712912757,0.007454108,0.300186749,4,2770.136686,178.3489374
1/25/2020,1.928,321.4,823.76875,5322.8,0.092487635,0.233348816,0.617898181,131977.4533,0.477754308,0.697042624,0.007238014,0.300406954,4,2799.000957,177.4164131
1/26/2020,1.928,316.5,821.6653,5285.4,0.093371058,0.229668632,0.610446994,132419.0677,0.48767826,0.68857114,0.007448311,0.301822308,4,2772.186928,177.1923535
1/27/2020,1.93,318.1,798.42366,5263.8,0.093440543,0.226590508,0.607553919,130773.6222,0.487416527,0.679055727,0.007384204,0.302258726,4,2768.15391,176.4059914
1/28/2020,1.92,310,783.40318,5273.9,0.093832042,0.221562793,0.601907125,129131.9694,0.487281406,0.663009184,0.007329831,0.303197468,4,2785.783379,175.7633399
1/29/2020,1.912,312.3,769.19452,5268.1,0.092961783,0.220626453,0.60379663,127523.0575,0.481427576,0.659599621,0.007245962,0.303140624,4,2785.365754,175.2798075
1/30/2020,1.925,306.6,751.97,5266,0.094804912,0.215690238,0.594180428,126935.3812,0.489010617,0.643979704,0.00719072,0.304026277,4,2801.952619,174.5775383
1/31/2020,1.916,306.2,745.9052,5210.4,0.094378065,0.21315498,0.590783471,126655.2721,0.493719342,0.639394733,0.007414354,0.305315372,4,2757.509274,174.2335016
2/1/2020,1.92,302.3,726.44572,5209.9,0.09528191,0.208849699,0.584342217,125354.9871,0.496035497,0.625478613,0.007325782,0.306012466,4,2771.821679,173.4389343
2/2/2020,1.902,298.4,722.09236,5214.6,0.094471761,0.206971373,0.584454719,124137.711,0.491547188,0.619740296,0.0073269,0.306517682,4,2774.085898,173.1763003
2/3/2020,1.912,296.1,701.18811,5212.4,0.095615961,0.203094792,0.577916588,122965.3836,0.494406145,0.606871948,0.007205511,0.307028928,4,2790.681677,172.3337832
2/4/2020,1.896,288.4,696.29616,5196.2,0.095522667,0.198861648,0.572293339,122150.4248,0.496937189,0.595426167,0.007339702,0.308679851,4,2779.236835,171.9268958
2/5/2020,1.913,290.9,682.85052,5194,0.096506651,0.197943658,0.569505175,121758.046,0.499166262,0.591540902,0.007209455,0.308540122,4,2791.08916,171.463099
2/6/2020,1.901,286.8,673.95964,5193.3,0.096217414,0.195014719,0.56670003,120555.8235,0.497903088,0.582878957,0.007222111,0.309494448,4,2790.296252,170.9817249
2/7/2020,1.902,280.5,666.7616,5170.3,0.097166396,0.190752373,0.558004478,120460.8729,0.505963618,0.571323312,0.007351565,0.311141382,4,2778.778736,170.5105773
2/8/2020,1.897,280.6,645.56384,5137.1,0.096906634,0.187346483,0.554461336,118654.3652,0.505262631,0.561361736,0.007327059,0.312235847,4,2765.589181,169.5282271
2/9/2020,1.902,277.9,640.45652,5141.6,0.097728022,0.185505377,0.550165271,118569.3069,0.508513982,0.555472771,0.007303946,0.31270429,4,2775.063316,169.2678549
2/10/2020,1.889,278,633.06,5113.6,0.096714414,0.184151708,0.550485574,117481.7374,0.505992896,0.552412929,0.007371155,0.313456943,4,2752.741233,168.8536076
2/11/2020,1.886,271.5,622.8259,5116.4,0.097368311,0.180181962,0.543770572,116603.2923,0.508314416,0.540120223,0.00735749,0.314698398,4,2764.633059,168.247938
2/12/2020,1.877,268.7,610.4736,5124.3,0.097079147,0.177651012,0.541954861,114996.2215,0.504170156,0.531615792,0.007262037,0.315325422,4,2777.645167,167.6011333
2/13/2020,1.884,269.7,615.56757,5083.7,0.097436271,0.17786279,0.539601588,116248.3077,0.512049989,0.534328775,0.007461102,0.315814839,4,2743.906229,167.806911
2/14/2020,1.884,265.1,607.3736,5068.6,0.098023828,0.17458966,0.533192495,115836.9823,0.516406574,0.524916882,0.007515773,0.317073891,4,2740.352033,167.2922768
2/15/2020,1.883,266.7,592.92178,5053.6,0.097834716,0.173098952,0.53213168,114581.045,0.514337486,0.520081385,0.007434182,0.317438162,4,2737.384614,166.6080386
2/16/2020,1.87,260.2,594.1452,5053.8,0.097657016,0.170696936,0.52861242,114250.3217,0.515139495,0.513429008,0.007537408,0.318585412,4,2735.952729,166.4786595
2/17/2020,1.88,263.4,583.79186,5054.9,0.098145783,0.170554967,0.528123829,113750.6915,0.51462157,0.511998414,0.007393514,0.318214681,4,2746.268236,166.0809765
2/18/2020,1.864,255.9,579.4774,5024.8,0.097686445,0.166596036,0.522173414,113030.8235,0.51734463,0.501739687,0.007595798,0.32029767,4,2722.778067,165.5787516
2/19/2020,1.865,255.3,565.66789,5037.5,0.098047747,0.16471953,0.519890579,111763.4414,0.514580019,0.494629514,0.007418541,0.320490196,4,2745.374901,164.897754
2/20/2020,1.862,254.2,565.6896,5042.6,0.097973509,0.164364272,0.519649585,111597.7669,0.513804976,0.493441517,0.007414487,0.320614383,4,2749.07258,164.8711632
2/21/2020,1.87,255.3,550.76832,5013.3,0.098441921,0.162321716,0.515421173,110921.8858,0.516789663,0.487472726,0.007383988,0.321311873,4,2737.91755,164.0941622
2/22/2020,1.853,249,545.6,5026,0.097980276,0.159422293,0.512609315,109623.8451,0.512994911,0.478346578,0.007372476,0.322441942,4,2751.114209,163.6236292
2/23/2020,1.863,247.7,543.8,4997,0.098812203,0.158101521,0.507332233,110367.2306,0.520982894,0.475469768,0.00749293,0.323246107,4,2733.160278,163.4734836
2/24/2020,1.847,248.4,534,5017,0.097673537,0.157598118,0.51104484,108384.7477,0.510500716,0.472602929,0.007315137,0.323052673,4,2749.951931,162.9395642
2/25/2020,1.863,244.5,534.5,4973,0.099151508,0.155031169,0.500568747,110107.042,0.526875596,0.46741743,0.007618335,0.324824893,4,2710.087256,162.8185256
2/26/2020,1.855,243.5,523.5,4974,0.098732191,0.153303238,0.4997106,108671.2141,0.522459437,0.461584561,0.007523552,0.325334038,4,2716.904792,162.1527887
2/27/2020,1.841,243.3,523.2,4983.9,0.09779033,0.153702617,0.503824134,107602.3378,0.514202326,0.461833273,0.007419114,0.324964666,4,2733.557962,162.1222459
2/28/2020,1.848,243.4,518.8,4952.5,0.098190033,0.152441793,0.499316778,108077.1017,0.521592707,0.459561198,0.007568657,0.325914423,4,2701.201715,161.814202
2/29/2020,1.851,239.8,515,4941.1,0.098753738,0.15037146,0.494079577,108126.7965,0.525840342,0.453667772,0.007626106,0.326877801,4,2698.703988,161.493921
3/1/2020,1.839,236.1,503.7,4951.8,0.098470121,0.147633343,0.491291627,106529.4395,0.521328893,0.444583669,0.007528266,0.327801799,4,2714.48973,160.7148232
3/2/2020,1.846,235.1,501.3,4937.9,0.099021424,0.146659261,0.48783805,106826.4978,0.525525592,0.441997774,0.007569907,0.328286342,4,2708.867567,160.5390085
3/3/2020,1.832,232.6,497.8,4926.4,0.098210128,0.145274774,0.487284363,105948.4473,0.522813301,0.438255522,0.007623908,0.329152054,4,2698.895457,160.1854248
3/4/2020,1.836,235.1,499.5,4922.3,0.098246479,0.14638758,0.488990301,106277.4514,0.523307472,0.441694044,0.007617197,0.328653916,4,2694.326794,160.361294
3/5/2020,1.834,232.9,495.2,4903.5,0.098289223,0.144847703,0.485916808,105997.2314,0.524934467,0.437421614,0.007663684,0.329468155,4,2687.095163,160.0042037
3/6/2020,1.834,230.1,483.2,4901.8,0.098690768,0.142105558,0.480794567,105058.0315,0.525229952,0.428657619,0.007593212,0.330453059,4,2696.151092,159.1991082
3/7/2020,1.829,228.5,487.4,4880.6,0.098440368,0.141838707,0.479860322,105481.2732,0.528126301,0.428953132,0.007755174,0.330970001,4,2675.730655,159.3285394
3/8/2020,1.829,229.6,484.4,4856.9,0.098371609,0.141590235,0.479258593,105439.0158,0.52990651,0.428753472,0.007808294,0.33114581,4,2659.002553,159.1084335
3/9/2020,1.82,224.8,480.1,4848,0.098262633,0.139155418,0.474978654,104872.7973,0.530604168,0.421702908,0.007877433,0.332418819,4,2655.910013,158.6430411
