Date,Gas Flow_MMSCFD,Oil_bpd,Water_bpd,FWHP_psig,FroudeNumberGas6,FroudeNumberLiquid6,HoldupFractionLiquid6,ReynoldsNumber6,SuperficialVelocityGas6,SuperficialVelocityLiquid6,SurfaceTensionLiquidInSitu6,ViscosityLiquidInSitu6,FlowPatternGasLiquid6,FINAPRESS,FINATEMP
1/1/2020,2,480,4500,5600,0.079349641,0.829993245,0.845727202,409800.789,0.510384406,2.641022471,0.013318652,0.273292743,4,2126.376735,212.3702904
1/2/2020,2,480,3450,5500,0.079879705,0.66970962,0.817303844,334632.3328,0.507736639,2.124771731,0.012764726,0.275989924,4,2177.457559,208.7528099
1/3/2020,2,480,3000,5400,0.081079978,0.598357974,0.797929676,303566.9168,0.517677926,1.900507231,0.012747057,0.277710888,4,2168.102001,206.5318398
1/4/2020,2,479,2500,5300,0.08211272,0.520704224,0.774212389,268085.3347,0.522150392,1.652199365,0.012434038,0.280039945,4,2183.207951,203.4013063
1/5/2020,2,479,2000,5200,0.082792194,0.444816748,0.747498884,231149.3853,0.519420674,1.406629643,0.011780516,0.283580989,4,2220.778037,199.2088797
1/6/2020,2,478,1500,5100,0.083260311,0.370417007,0.716734763,193155.6614,0.507640932,1.162702216,0.010641395,0.287869416,4,2291.039198,193.2170373
1/7/2020,2,478,1280,5000,0.084378832,0.335931219,0.695950759,177372.2487,0.511752456,1.052974996,0.010245693,0.290478862,4,2292.168369,189.5631063
1/8/2020,2,477,1050,4900,0.085447893,0.30063779,0.673164555,160054.74,0.5110531,0.938805232,0.009567964,0.29383582,4,2309.404098,184.7969105
1/9/2020,2,477,900,4700,0.088578931,0.272574054,0.641670551,151365.9936,0.540519991,0.8557722,0.009686742,0.298352029,4,2227.157333,180.6526883
1/10/2020,2,476,800,4600,0.090097332,0.255432421,0.623537812,144663.8354,0.550699751,0.802306801,0.009471301,0.301060519,4,2203.114302,177.5303047
1/11/2020,2,476,700,4500,0.091457483,0.23911689,0.60554519,137912.365,0.559512802,0.751237149,0.009135262,0.303544489,4,2182.831999,174.0343425
1/12/2020,2,476,600,4400,0.0927847,0.223204953,0.587330666,130905.9774,0.566384837,0.70083894,0.008663764,0.306156162,4,2166.135736,170.0068734
